University,Location,Annual Stipend,Living Wage (1 Adult),Living Wage (2 Adults),Living Wage          (1 Adult 1 Child),Pay / Living Wage
Arizona State,"Tempe, AZ","22,835.00","21,632.00","17,264.00","47,278.40",1.06
SUNY Buffalo,"Buffalo, NY","23,071.00","21,860.80","17,264.00","49,067.20",1.06
Delaware,"Newark, DE","26,171.00","24,918.40","19,905.60","50,564.80",1.05
Virginia Tech,"Blacksburg, VA","23,926.00","22,838.40","18,012.80","50,024.00",1.05
West Virginia,"Morgantown, WV","23,050.00","22,006.40","17,368.00","43,284.80",1.05
Wisconsin,"Madison, WI","23,482.00","22,422.40","17,534.40","48,984.00",1.05
Indiana,"Bloomington, IN","23,024.00","22,006.40","17,388.80","44,720.00",1.05
UCLA,"Los Angeles, CA","27,953.00","26,790.40","20,384.00","56,867.20",1.04
Texas A&M,"College Station, TX","22,675.00","21,840.00","17,409.60","43,742.40",1.04
Clemson,"Clemson, SC","21,363.00","20,592.00","17,784.00","42,016.00",1.04
Washington,"Seattle, WA","26,227.00","25,355.20","19,156.80","53,289.60",1.03
Georgia,"Athens, GA","22,162.00","21,507.20","17,284.80","44,304.00",1.03
Missouri,"Columbia, MO","21,572.00","21,382.40","17,305.60","42,744.00",1.01
Mississippi State,"Starkville, MS","20,544.00","20,384.00","17,596.80","41,641.60",1.01
Baylor,"Waco, TX","19,626.00","19,552.00","16,265.60","43,118.40",1.00
Drexel,"Philadelphia, PA","23,829.00","23,774.40","17,888.00","47,964.80",1.00
Virginia,"Charlottesville, VA","22,878.00","22,838.40","18,012.80","50,024.00",1.00
Florida,"Gainesville, FL","22,459.00","22,443.20","17,680.00","47,444.80",1.00
South Carolina,"Columbia, SC","22,098.00","22,089.60","17,680.00","42,556.80",1.00
Wake Forest,"Winston-Salem, NC","21,083.00","21,174.40","17,201.60","44,200.00",1.00
Wyoming,"Laramie, WY","20,229.00","20,321.60","17,347.20","42,764.80",1.00
LSU,"Baton Rouge, LA","20,631.00","21,028.80","17,035.20","43,867.20",0.98
Southern Miss,"Hattiesburg, MS","20,733.00","21,132.80","17,409.60","42,036.80",0.98
Arizona,"Tucson, AZ","19,900.00","20,384.00","16,640.00","46,113.60",0.98
Oklahoma State,"Stillwater, OK","19,995.00","20,529.60","17,326.40","43,118.40",0.97
NC State,"Raleigh, NC","22,403.00","23,067.20","18,158.40","47,528.00",0.97
Kentucky,"Lexington, KY","20,146.00","20,904.00","16,681.60","44,283.20",0.96
Auburn,"Auburn, AL","20,605.00","22,193.60","17,513.60","44,033.60",0.93
Vermont,"Burlington, VT","23,914.00","26,312.00","19,510.40","53,081.60",0.91
Arkansas,"Fayetteville, AR","17,511.00","19,884.80","16,390.40","41,496.00",0.88
Maryland,"College Park, MD","26,253.00","30,076.80","21,507.20","64,084.80",0.87
Massachusetts,"Boston, MA","22,832.00","26,769.60","19,448.00","55,889.60",0.85
Georgetown,"Washington, DC","25,340.00","30,076.80","21,507.20","64,084.80",0.84
